,state,colony_number,yield_per_colony,productions,stocks,average_price,value_of_prod,year
467,Pennsylvania,20000,42,336000,336000,3.4,2856000,2021
468,SouthCarolina,16000,42,67000,67000,5.32,3575000,2021
469,SouthDakota,250000,49,5268000,5268000,2.27,27808000,2021
470,Tennessee,8000,56,81000,81000,5.0,2240000,2021
471,Texas,137000,56,384000,384000,2.3,17646000,2021
472,Utah,31000,33,92000,92000,2.18,2230000,2021
473,Vermont,7000,47,76000,76000,3.28,1079000,2021
474,Virginia,6000,40,79000,79000,8.23,1975000,2021
475,Washington,96000,32,1206000,1206000,2.52,7741000,2021
476,WestVirginia,6000,43,136000,136000,4.8,1238000,2021
477,Wisconsin,42000,47,750000,750000,2.81,5547000,2021
478,Wyoming,38000,58,242000,242000,2.07,4562000,2021
